"Tingle, Tim",Title,Call_Number,Cumu_Circ,Last_Circ_Date,Weed,Date,weed_for_condition,Author_Cultural_Identity,BH_Source_Note_Score,Tier_Score,Country,Region,Source,Award,Fiction_NonFiction,Explore
"Engelbreit, Mary",5-minute Mary Engelbreit fairy tales.,E 398.2 EN32F,29,7/24/2023,,2018,,,,,European,Europe,,,NonFiction,
"Forest, Heather",The contest between the Sun and the Wind : an Aesop's fable /,E 398.2 F761C,34,3/17/2022,,2008,,,,,European,Europe,Aesop,,NonFiction,
"Scarry, Richard.",Richard Scarry's best nursery tales ever.,E 398.2 Sca77b 2014,23,7/19/2023,,2014,,,,,European,Europe,,,NonFiction,
"Shaw, Stephanie",The legend of the beaver's tail /,E 398.2089 OJ3SH,14,10/26/2021,,2015,,,2,2,Native American,North America,,,NonFiction,1
"Berry, Holly",Told and retold : around the world with Aesop's fables /,E 398.209 Ae88be 2022,3,9/11/2023,,2022,,,,,European,Europe,Aesop,,NonFiction,
"Berne, Emma Carlson, 1979-",A first look at dragons /,E 398.209 B457fd 2021,2,6/6/2023,,2021,,,,,European,Europe,,,NonFiction,
,Fairy tale favorites : 3 books in 1!.,E 398.209 F169,21,7/24/2023,,2015,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Mermaids /,E 398.209 G4467m 2020,21,7/14/2023,,2020,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Unicorns /,E 398.209 G4467u 2020,21,9/12/2022,,2020,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Werewolves /,E 398.209 G4467w 2020,27,6/24/2023,,2020,,,,,European,Europe,,,NonFiction,
"Grandi, Gina L.",The magic of unicorns : field guide to fabulous creatures /,E 398.209 G764m 2018,9,3/6/2023,,2018,,,,,European,Europe,,,NonFiction,
"Hoberman, Mary Ann","You read to me, I'll read to you : very short tall tales to read together /",E 398.209 H653yt 2014,43,12/16/2022,,2014,,,,,European,Europe,,,NonFiction,
"Hoffman, Mary, 1945-",A first book of fairy tales /,E 398.209 H675f 2001,11,7/25/2023,,2001,,,,,European,Europe,,,NonFiction,
"Hoffman, Mary, 1945-",A first book of fairy tales /,E 398.209 H675f 2001,3,4/24/2023,,2001,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Leprechauns /,E 398.20941 Ir2g 2020,3,3/31/2023,,2020,,,,,European,Europe,,,NonFiction,
"Fischer, Hans, 1909-1958",In fairyland : the finest of tales by the Brothers Grimm /,E 398.20943 G317fi 2018,5,6/15/2022,,2018,,,,,Germany,Europe,,,NonFiction,
"Wu, Faye-Lynn",Mulan : the legend of the woman warrior /,E 398.20951 C441w 2019,4,4/24/2023,,2019,,x,1,5,China,Asia,,,NonFiction,1
"MacDonald, Margaret Read, 1940-",The boy from the dragon palace : a folktale from Japan /,E 398.20952 J271MAB,26,10/26/2022,,2011,,,3,2,Japan,Asia,,,NonFiction,1
"Williams, Marcia, 1945-",The elephant's friend and other tales from ancient India /,E 398.20954 IN2WIE,17,11/3/2022,,2012,,,1,5,India,Asia,,,NonFiction,1
"Kheiriyeh, Rashin.",Two parrots /,E 398.20955 IR1KH,17,1/23/2023,,2014,,x,2,5,Iran,Middle East,,,NonFiction,1
"Tonatiuh, Duncan",The princess and the warrior : a tale of two volcanoes /,E 398.20972 M574top 2016,15,11/10/2021,,2016,,x,4,5,Mexico,Central America,,Belpre,NonFiction,1
"Gish, Melissa",Fairies /,E 398.21 G446f 2022,2,11/5/2022,,2022,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Vampires /,E 398.45 G4467v 2020,1,11/28/2022,,2020,,,,,European,Europe,,,NonFiction,
"Brown, Marc Tolon",Marc Brown's playtime rhymes : a treasury for families to learn and play together.,E 398.8 B814P,33,6/29/2022,,2013,,,,,American,North America,Mother Goose,,NonFiction,
"Caldecott, Randolph, 1846-1886",Randolph Caldecott's picture books /,E 398.8 C127P,38,12/6/2021,,2008,,,,,American,North America,,,NonFiction,
,Tomie dePaola's Mother Goose.,E 398.8 D44T,21,7/24/2023,,1985,,,,,American,North America,Mother Goose,,NonFiction,
"Elya, Susan Middleton, 1955-",La Madre Goose : nursery rhymes for los niños /,E 398.8 EL94M,15,3/8/2023,,2016,,x,,5,Mexico,Central America,Mother Goose,,NonFiction,1
"Hillenbrand, Will",Mother Goose picture puzzles /,E 398.8 H557m 2011,12,8/5/2023,,2011,,,,,European,Europe,Mother Goose,,NonFiction,
,"Honey for you, honey for me : a first book of nursery rhymes /",E 398.8 H757 2021,2,10/26/2021,,2021,,,,,American,Europe,,,NonFiction,
"Hout, Mies van","Twinkle, twinkle, little star /",E 398.8 H818T,37,5/25/2023,,2014,,,,,American,Europe,Mother Goose,,NonFiction,
,I see the moon /,E 398.8 I1be 2019,19,8/7/2023,,2019,,,,,?,,,,NonFiction,
"Kolar, Rachel",Mother Ghost : nursery rhymes for little monsters /,E 398.8 K83M,13,4/19/2023,,2018,,,,,American,Europe,Mother Goose,,NonFiction,
,My very first Mother Goose /,E 398.8 OP3M,16,8/14/2023,,2016,,,,,European,Europe,Mother Goose,,NonFiction,
,The real Mother Goose /,E 398.8 R229 1994,9,8/12/2023,,1994,,,,,European,Europe,Mother Goose,,NonFiction,
"Scieszka, Jon",The real Dada Mother Goose : a treasury of complete nonsense /,E 398.8 Sci27r 2022,0,5/17/2023,,2022,,,,,American,Europe,Mother Goose,,NonFiction,
"Scieszka, Jon",The real Dada Mother Goose : a treasury of complete nonsense /,E 398.8 Sci27r 2022,0,12/28/2022,,2022,,,,,American,Europe,Mother Goose,,NonFiction,
"Sehgal, Kabir",Mother Goose goes to India /,E 398.8 Se41m 2021,6,44839,,2021,,,,,India,Asia,,,NonFiction,1
"Bowman, James Cloyd, 1880-1961",Pecos Bill : the greatest cowboy of all time /,J 398.2 B684P,32,1/7/2023,,2007,,,,,American,North America,,Newbery,NonFiction,
"Chase, Richard, 1904-1988",Grandfather tales : American-English folk tales /,J 398.2 C386g 2003,10,8/2/2022,,2003,,,,,Multiple,North America/Europe,,,NonFiction,
"Compton, Joanne",Ashpet : an Appalachian tale /,J 398.2 C739A,35,8/2/2022,,1994,,,,,American,North America,,,NonFiction,
"Crum, Shutta",Who took my hairy toe? /,J 398.2 C888W KY,41,8/2/2022,,2001,,,,,American,North America,,,NonFiction,
"DePaola, Tomie, 1934-2020.",Tomie dePaola's Front porch tales & North Country whoppers.,J 398.2 D44F,44,7/11/2023,,2007,,,,,American,North America,,,NonFiction,
"Johnson, Paul Brett",Fearless Jack /,J 398.2 J636F KY,42,4/19/2023,,2001,,,,,American,North America,,,NonFiction,
"Johnson, Paul Brett",Jack outwits the giants /,J 398.2 J636J KY,26,4/19/2023,,2002,,,,,American,North America,,,NonFiction,
"Johnson, Paul Brett",Old Dry Frye : a deliciously funny tall tale /,J 398.2 J636O KY,36,5/9/2023,,1999,,,,,American,North America,,,NonFiction,
"Johnston, Tony, 1942-",Bigfoot Cinderrrrrella /,J 398.2 J648B,26,10/24/2022,,1998,,,,,American,North America,Grimm,,NonFiction,
"Kellogg, Steven",Paul Bunyan : a tall tale /,J 398.2 K294PB,90,7/25/2023,,1984,,,,,American,North America,,,NonFiction,
"Kellogg, Steven.",Pecos Bill : a tall tale /,J 398.2 K294PBI,39,5/12/2023,,1992,,,,,American,North America,,,NonFiction,
"Ketteman, Helen",Armadilly chili /,J 398.2 K511A,34,8/8/2023,,2004,,,,,American,North America,,,NonFiction,
"McAllister, Angela",A year full of stories /,J 398.2 M117y 2016,44,45155,,,,,,,World,World,,,NonFiction,
"Myers, Christopher",Lies and other tall tales /,J 398.2 M992L,32,8/2/2022,,2005,,,,,American,North America,,,NonFiction,
,The pig who went home on Sunday : an Appalachian folktale /,J 398.2 P621D,15,8/2/2022,,2004,,,,,American,North America,,,NonFiction,
"San Souci, Robert D",Cinderella Skeleton /,J 398.2 SA54CK,32,11/12/2022,,2000,,,,,American,North America,Grimm,,NonFiction,
"Van Laan, Nancy",With a whoop and a holler : a bushel of lore from way down south /,J 398.2 V322W,19,8/2/2022,,1998,,,,,American,North America,,,NonFiction,
"Walker, Paul Robert","Big men, big country : a collection of American tall tales /",J 398.2 W153B,29,8/2/2022,,1993,,,,,American,North America,,,NonFiction,
"Ward, Marchella, 1991-",Gods of the ancient world : a kids' guide to ancient mythologies /,J 398.2 W215g 2023,8,7/19/2023,,2023,,,c/o,,Racism,World,,,NonFiction,
"Willey, Margaret",Clever Beatrice and the best little pony /,J 398.2 W669CB,35,6/30/2023,,2004,,,,,American,North America,,,NonFiction,
"Bruchac, Joseph, 1942-","Flying with the eagle, racing the great bear : stories from Native North America /",J 398.2089 B83fw 1993,5,11/21/2022,,1993,,x,1,5,Native American,North America,,,NonFiction,1
"Bruchac, Joseph, 1942-",How Chipmunk got his stripes : a tale of bragging and teasing /,J 398.2089 B83H,28,9/11/2023,,2001,,x,4,5,Native American,North America,,,NonFiction,1
"Bruchac, Joseph, 1942-",Raccoon's last race : a traditional Abenaki story /,J 398.2089 B83R,23,8/2/2022,,2004,,x,1,5,Native American,North America,,,NonFiction,1
"Bruchac, James.",Rabbit's snow dance : a traditional Iroquois story /,J 398.2089 B83RS,26,3/24/2023,,2012,,x,1,5,Native American,North America,,,NonFiction,1
"Bruchac, Joseph, 1942-",When the Chenoo howls : native American tales of terror /,J 398.2089 B83W,31,8/6/2023,,1988,x,x,,5,Native American,North America,,,NonFiction,1
"Caduto, Michael J.",Keepers of life : discovering plants through Native American stories and earth activities for childr,J 398.2089 C115KL,37,1/17/2023,,1994,,x,4,5,Native American,North America,,,NonFiction,1
"Bruchac, Joseph, 1942-",The first strawberries : a Cherokee story /,J 398.2089 C424brf 1993,27,9/9/2023,,1993,,x,3,5,Native American,North America,,,NonFiction,1
"Ross, Gayle",How Turtle's back was cracked : a traditional Cherokee tale /,J 398.2089 C424ROH,36,8/29/2022,,1995,,x,4,5,Native American,North America,,,NonFiction,1
"Tingle, Tim",Walking the Choctaw road /,J 398.2089 C451TIW,15,8/2/2022,,2003,,x,4,5,Native American,North America,,,NonFiction,1
"Tingle, Tim",When Turtle grew feathers : a folktale from the Choctaw nation /,J 398.2089 C451TIWT,35,8/2/2023,,2007,,x,2,5,Native American,North America,,,NonFiction,1
"Goble, Paul",Adopted by the eagles : a Plains Indian story of friendship and treachery /,J 398.2089 D149GOA,14,9/29/2022,x,1994,,,1,1,Native American,North America,,,NonFiction,1
"DePaola, Tomie, 1934-2020",The legend of the Indian paintbrush /,J 398.2089 D441l 1988,59,7/5/2023,,1988,,,1,1,Native American,North America,,,NonFiction,1
"Sloat, Teri",The hungry giant of the Tundra /,J 398.2089 ES44SLH,19,7/31/2021,,1993,,,3,4,Native American,North America,,,NonFiction,1
"Goble, Paul",Buffalo woman /,J 398.2089 G538B,18,12/1/2020,x,1984,,,3,1,Native American,North America,,,NonFiction,1
"Goble, Paul",The boy & his mud horses : & other stories from the tipi /,J 398.2089 G538BM,16,8/14/2023,x,2010,,,,1,Native American,North America,,,NonFiction,1
"Goble, Paul",Iktomi and the boulder : a Plains Indian story /,J 398.2089 G538IB,29,1/11/2021,x,1988,,,,1,Native American,North America,,,NonFiction,1
"Goble, Paul",Iktomi and the buzzard : a Plains Indian story /,J 398.2089 G538IBU,18,12/7/2020,x,1994,,,,1,Native American,North America,,,NonFiction,1
"Goble, Paul",Iktomi and the ducks : a Plains Indian story /,J 398.2089 G538ID,19,11/17/2020,x,1990,,,,1,Native American,North America,,,NonFiction,1
"Goble, Paul",Iktomi loses his eyes : a Plains Indian story /,J 398.2089 G538IL,18,12/1/2020,x,1999,,,,1,Native American,North America,,,NonFiction,1
"Goble, Paul",The legend of the White Buffalo Woman /,J 398.2089 G538LE,20,1/4/2023,x,1998,,,1,1,Native American,North America,,,NonFiction,1
"Goble, Paul",Mystic horse /,J 398.2089 G538m 2003,4,12/8/2022,x,2003,,,3,1,Native American,North America,,,NonFiction,1
"Goldin, Barbara Diamond",Coyote and the fire stick : a Pacific Northwest Indian tale /,J 398.2089 G569C,75,6/15/2023,,1996,,,4,2,Native American,North America,,,NonFiction,1
"Jones, Dan C., 1951-",Living ghosts and mischievous monsters : chilling American Indian stories /,J 398.2089 J713l 2021,17,9/11/2023,,2021,,x,3,5,Native American,North American,,,NonFiction,1
"McDermott, Gerald",Coyote : a trickster tale from the American Southwest /,J 398.2089 M143C,35,12/9/2022,,1994,,,1,1,Native American,North America,,,NonFiction,1
"Duncan, Lois, 1934-2016",The magic of Spider Woman /,J 398.2089 N227DUM,30,10/27/2020,,1996,,,1,3,Native American,North America,,,NonFiction,1
"Jackson, Gwen",Lump Lump and the blanket of dreams : inspired by Navajo culture and folklore /,J 398.2089 N227JAL,3,1/5/2021,,2016,,,3,2,Native American,North America,,,NonFiction,1
"Oughton, Jerrie",How the stars fell into the sky : a Navajo legend /,J 398.2089 N227OUH KY,21,10/15/2022,,1992,,,c/o,2,Native American,North America,,,NonFiction,1
"Luenn, Nancy",The miser on the mountain : a Nisqually legend of Mount Rainier /,J 398.2089 N635LUM,24,8/18/2022,,1997,,,2,2,Native American,North America,,,NonFiction,1
"Rodanas, Kristina",Dance of the sacred circle : a native American tale /,J 398.2089 SI28ROD,22,8/23/2021,x,1994,,,2,2,Native American,North America,,,NonFiction,1
"Goble, Paul",Storm maker's tipi /,J 398.2089 SI29GOST,18,12/1/2020,x,2001,,,2,1,Native American,North America,,,NonFiction,1
"Van Laan, Nancy",Buffalo dance : a Blackfoot legend /,J 398.2089 SI29VAB,21,1/4/2023,,1993,,,2,2,Native American,North America,,,NonFiction,1
,Spider spins a story : fourteen legends from Native America /,J 398.2089 SP42,24,10/26/2021,,1997,,x,5,5,Native American,North America,,,NonFiction,1
"Tingle, Tim",Spirits dark and light : supernatural tales from the Five Civilized Tribes /,J 398.2089 T493S,29,1/2/2020,,2006,,x,1,5,Native American,North America,,,NonFiction,1
"Taylor, Harriet Peck",Coyote places the stars /,J 398.2089 W269TAC,48,8/6/2021,,1993,,,2,2,Native American,North America,,,NonFiction,1
"Ross, Gayle",The legend of the Windigo : a tale from native North America /,J 398.2089 W723ROL,26,12/1/2022,,1996,,x,4,5,Native American,North America,,,NonFiction,1
"Hamilton, Virginia, 1934-2002","Her stories : African American folktales, fairy tales, and true tales /",J 398.20896 H18H,30,7/22/2023,,1995,,,2,5,African American,African American,,,NonFiction,1
"Lester, Julius, 1939-2018","Further tales of Uncle Remus : the misadventures of Brer Rabbit, Brer Fox, Brer Wolf, the Doodang, a",J 398.20896 L567F,21,1/4/2023,,1990,,X,1,5,African American,African American,,,NonFiction,1
"Lester, Julius, 1939-2018",The last tales of Uncle Remus /,J 398.20896 L567L,8,7/24/2023,,1994,,X,1,5,African American,African American,,,NonFiction,1
"Lyons, Mary E.",Roy makes a car /,J 398.20896 L995R,22,11/11/2020,,2005,,X,3,5,African American,African American,,,NonFiction,1
"McGill, Alice",Way up and over everything /,J 398.20896 M175W,17,1/11/2020,,2008,,X,3,5,African American,African American,,,NonFiction,1
"San Souci, Robert D",Sukey and the mermaid /,J 398.20896 SA54S,21,8/2/2023,,1992,,X,4,5,African American,African American,,Newbery,NonFiction,1
"San Souci, Robert D",The talking eggs : a folktale from the American South /,J 398.20896 Sa54t 1989,41,7/22/2023,,1989,,X,1,5,African American,African American,,Caldecott,NonFiction,1
"Sierra, Judy",Wiley and the hairy man /,J 398.20896 SI17W,28,2/22/2022,,1996,,,1,4,African American,African American,,,NonFiction,1
"Gelfand, Shoshana Boyd",The Barefoot Book of Jewish tales /,J 398.2089924 G281B,7,9/29/2019,,2013,,x,2,5,Jewish,Jewish,,,NonFiction,1
"Taback, Simms",Kibitzers and fools : tales my zayda (grandfather) told me /,J 398.2089924 T111K,23,2/28/2023,,2005,,x,1,5,Jewish,Jewish,,,NonFiction,1
"Tarbescu, Edith",The boy who stuck out his tongue : a Yiddish folk tale /,J 398.2089924 T172B,21,1/2/2023,,2000,,x,1,5,Jewish,Jewish,,,NonFiction,1
,Aesop's fables /,J 398.209 AE88AEF,16,8/3/2023,,2014,,,,,European,Europe,Aesop,,NonFiction,
"Anno, Mitsumasa, 1926-2020",Anno's Aesop : a book of fables /,J 398.209 AE88AN,30,7/19/2023,,1989,,,,,European,Europe,Aesop,,NonFiction,
"Carle, Eric",The rabbit and the turtle : Aesop's fables /,J 398.209 AE88CAR,30,3/30/2023,,2008,,,,,European,Europe,Aesop,,NonFiction,
"Galdone, Paul",Three Aesop fox fables /,J 398.209 AE88G,39,2/27/2023,,1971,,,,,European,Europe,Aesop,,NonFiction,
"Lendler, Ian",The fabled life of Aesop /,J 398.209 Ae88l 2020,17,8/3/2022,,2020,,,,,European,Europe,Aesop,,NonFiction,
"Lowry, Amy",The ant and the grasshopper /,J 398.209 AE88PO,37,9/16/2023,,,,,,,European,Europe,,,NonFiction,
"Allen, Nancy Kelly, 1949-",The truth about princesses /,J 398.209 AL545T,16,5/15/2023,,2010,,,,,European,Europe,,,NonFiction,
"Batt, Tanya Robyn",The fabrics of fairytale : stories spun from far and wide /,J 398.209 B321F,15,1/5/2023,,2000,,,2,2,World,World,,,NonFiction,
"Berk, Ari","The secret history of mermaids and creatures of the deep, or, The liber aquaticum /",J 398.209 B455s 2009,4,10/25/2022,,2009,,,,,European,Europe,,,NonFiction,
"Blaisdell, Molly, 1964-",The truth about unicorns /,J 398.209 B578T,41,2/13/2023,,2011,,,,,European,Europe,,,NonFiction,
"Caldwell, Stella",Fairy world /,J 398.209 C127F,18,7/19/2023,,2016,,,,,European,Europe,,,NonFiction,
Good Wives and Warriors (Partnership),Mythopedia : an encyclopedia of mythical beasts and their magical tales /,J 398.209 C579m 2020,12,9/15/2023,,2020,,,,,European,Europe,,,NonFiction,
"Czarnota, Lorna",Medieval tales that kids can read & tell /,J 398.209 C995M,36,8/3/2022,,2000,,,,,European,Europe,,,NonFiction,
"Dalton, Annie",The starlight princess and other princess stories /,J 398.209 D171S,23,2/8/2020,,1999,,,3,2,World,World,,,NonFiction,
"DeSpain, Pleasant",Thirty-three multicultural tales to tell /,J 398.209 D467T,32,8/11/2022,x,1993,,,,1,World,North America,,,NonFiction,
