"Tingle, Tim",Title,Call_Number,Cumu_Circ,Last_Circ_Date,Weed,Date,weed_for_condition,Author_Cultural_Identity,BH_Source_Note_Score,Tier_Score,Country,Region,Source,Award,Fiction_NonFiction,Explore
"Wiesner, David",The loathsome dragon /,J 398.20942 EN34WIEL,13,9/21/2021,,2005,,,,,United Kingdom,Europe,,,NonFiction,
"Larson, Jean Russell",The fish bride and other Gypsy tales /,J 398.20942 W148LAF,30,11/24/2021,x,2000,,,,,G*psy,North America,,,NonFiction,1
"Wisniewski, David",Golem /,J 398.20943 C996wig 1996,32,7/14/2023,,1996,,x,4,5,Jewish,Jewish,,Caldecott,NonFiction,1
"Allchin, Rosalind",The frog princess /,J 398.20943 G317ALF,23,6/12/2023,,2001,,,,,Germany,Europe,Grimm,,NonFiction,
"Babbitt, Natalie",Ouch! : a tale from Grimm /,J 398.20943 G317BABO,22,9/23/2021,,1998,,,,,Germany,Europe,Grimm,,NonFiction,
"Ernst, Lisa Campbell",The three spinning fairies : a tale from the Brothers Grimm /,J 398.20943 G317ERT,30,6/12/2023,,2002,,,,,Germany,Europe,Grimm,,NonFiction,
"Gág, Wanda, 1893-1946",Snow White and the seven dwarfs /,J 398.20943 G317GAS,24,4/10/2023,,2004,,,,,Germany,Europe,Grimm,Caldecott,NonFiction,
"Grimm, Wilhelm, 1786-1859",Dear Mili : an old tale /,J 398.20943 G317grd 1988,19,3/1/2023,,1988,,,,,Germany,Europe,Grimm,,NonFiction,
"McDermott, Dennis",The golden goose /,J 398.20943 G317GRGG,19,8/5/2023,,2000,,,,,Germany,Europe,Grimm,,NonFiction,
"Rogasky, Barbara",Rapunzel /,J 398.20943 G317GRR,41,7/20/2023,,1982,,,,,Germany,Europe,Grimm,,NonFiction,
,Rumpelstiltskin : a fairy tale /,J 398.20943 G317GRRU,39,45041,,1993,,,,,Germany,Europe,Grimm,,NonFiction,
"Leupin, Herbert, 1916-1999",Tales from the Brothers Grimm /,J 398.20943 G317GRTB,23,2/21/2020,,2015,,,,,Germany,Europe,Grimm,,NonFiction,
"Grimm, Jacob, 1785-1863.",The twelve dancing princesses /,J 398.20943 G317GRTD,24,1/18/2022,,2013,,,,,Germany,Europe,Grimm,,NonFiction,
"Hamilton, Virginia, 1934-2002",The girl who spun gold /,J 398.20943 G317HAMG,21,5/13/2021,,2000,,,,,Germany,Europe,Grimm,,NonFiction,
"Hodges, Margaret, 1911-2005",The hero of Bremen /,J 398.20943 G317HOH,39,3/17/2023,,1993,,,,,Germany,Europe,Grimm,,NonFiction,
"Kimmel, Eric A.",Seven at one blow : a tale from the Brothers Grimm /,J 398.20943 G317KIS,16,3/13/2021,,1998,,,,,Germany,Europe,Grimm,,NonFiction,
"Lesser, Rika",Hansel and Gretel /,J 398.20943 G317LEH,48,3/14/2022,,1999,,,,,Germany,Europe,Grimm,Caldecott,NonFiction,
"Mayer, Mercer, 1943-",The Pied Piper of Hamelin /,J 398.20943 G317MAP,33,1/14/2023,,1987,,,,,Germany,Europe,Grimm,,NonFiction,
"Morpurgo, Michael",The Pied Piper of Hamelin /,J 398.20943 G317MORP,9,8/3/2022,,2011,,,,,Germany,Europe,Grimm,,NonFiction,
"Orgel, Doris, 1929-2021",Doctor All-Knowing : a folk tale from the Brothers Grimm /,J 398.20943 G317ORD,20,3/8/2022,,2008,,,,,Germany,Europe,Grimm,,NonFiction,
"Rogasky, Barbara",The water of life : a tale from the Brothers Grimm /,J 398.20943 G317ROW,17,9/10/2021,,1986,,,,,Germany,Europe,Grimm,,NonFiction,
"Sanderson, Ruth",The crystal mountain /,J 398.20943 G317SAC,18,9/21/2020,,1999,,,,,Germany,Europe,Grimm,,NonFiction,
"Sanderson, Ruth",Rose Red & Snow White : a Grimms fairy tale /,J 398.20943 G317SAR,34,5/9/2022,,1997,,,,,Germany,Europe,Grimm,,NonFiction,
"Shulevitz, Uri, 1935-",The golden goose /,J 398.20943 G317SHG,9,1/30/2020,,1995,,,,,Germany,Europe,Grimm,,NonFiction,
"Tan, Shaun",The singing bones : inspired by Grimms' fairy tales /,J 398.20943 G317TAS,20,8/3/2022,,2016,,,,,Germany,Europe,Grimm,,NonFiction,
"Wenzel, David, 1950-",Fairy tales of the Brothers Grimm /,J 398.20943 G317WEF,23,8/3/2022,,1995,,,,,Germany,Europe,Grimm,,NonFiction,
"Zelinsky, Paul O.",Rapunzel /,J 398.20943 G317zelr 1997,0,11/4/2022,,1997,,,,,Germany,Europe,Grimm,Caldecott,NonFiction,
"Singer, Isaac Bashevis, 1904-1991",Zlateh the goat : and other stories /,J 398.20943 P757SIZ,26,7/18/2023,,1966,,,,,Jewish,Jewish,,Newbery,NonFiction,1
"Anderson, Rachel, 1943-",Renard the Fox /,J 398.20944 F844ANR,23,9/10/2022,,1983,,,,,France,Europe,,,NonFiction,
